id,ClusterID,Title,Authors,Venue,Year,Citations,Source,predictClusterId
1,1800000,Large-scale machine learning at twitter,"Jimmy Lin, Alek Kolcz",SIGMOD Conference,2012,147.0,GoogleScholar,1314520.0
7,1800001,Fast data in the era of big data: Twitter's real-time related query suggestion architecture,"Gilad Mishne, Jeff Dalton, Zhenghua Li, Aneesh Sharma, Jimmy Lin",Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,84.0,GoogleScholar,1314521.0
13,1800002,Summingbird: a framework for integrating batch and online MapReduce computations," Oscar Boykin,  Sam Ritchie,  Ian O'Connell,  Jimmy Lin",PVLDB,2014,70.0,GoogleScholar,1314522.0
19,1800003,The unified logging infrastructure for data analytics at Twitter," George Lee,  Jimmy Lin,  Chuang Liu,  Andrew Lorek,  Dmitriy Ryaboy",PVLDB,2012,62.0,GoogleScholar,1314523.0
25,1800004,Runtime Optimizations for Tree-Based Machine Learning Models," Nima Asadi,  Jimmy Lin,  Arjen P De Vries", IEEE Transactions on Knowledge and Data Engineering,2014,27.0,GoogleScholar,1314524.0
30,1800005, NScale: neighborhood-centric large-scale graph analytics in the cloud," Abdul Quamar,  Amol Deshpande,  Jimmy Lin", The VLDB Journal,2016,20.0,GoogleScholar,1314525.0
34,1800006, Hone: Scaling down hadoop on shared-memory systems," K Ashwin Kumar,  Jonathan Gluck,  Amol Deshpande,  Jimmy Lin", Proceedings of the VLDB Endowment,2013,19.0,GoogleScholar,1314526.0
38,1800007,NScale: neighborhood-centric analytics on large graphs," Abdul Quamar,  Amol Deshpande,  Jimmy Lin", Proceedings of the VLDB Endowment,2014,18.0,GoogleScholar,1314527.0
42,1800008,Real-time twitter recommendation: online motif detection in large dynamic graphs," Pankaj Gupta,  Venu Satuluri,  Ajeet Grewal,  Siva Gurumurthy,  Volodymyr Zhabiuk,  Quannan Li",PVLDB,2014,16.0,GoogleScholar,1314528.0
48,1800009, GraphJet: real-time content recommendations at twitter," Aneesh Sharma,  Jerry Jiang,  Praveen Bommannavar,  Brian Larson,  Jimmy Lin", Proceedings of the VLDB Endowment,2016,9.0,GoogleScholar,1314529.0
51,1800010,In-Browser Interactive SQL Analytics with Afterburner,"Kareem El Gebaly,Jimmy Lin",SIGMOD Conference,2017,1.0,GoogleScholar,1314530.0
56,1800011, Sapphire: Querying RDF data made simple," Ahmed El-Roby,  Khaled Ammar,  Ashraf Aboulnaga,  Jimmy Lin", Proceedings of the VLDB Endowment,2016,1.0,GoogleScholar,1314531.0
59,1800012, The Ubiquity of Large Graphs and Surprising Challenges of Graph Processing," Siddhartha Sahu,  Amine Mhedhbi,  Semih Salihoglu,  Jimmy Lin,  M Tamer zsu", Proceedings of the VLDB Endowment,2017,0.0,GoogleScholar,1314532.0
74,1800015,SystemT: a system for declarative information extraction,"Rajasekar Krishnamurthy, Yunyao Li, Sriram Raghavan, Frederick Reiss, Shivakumar Vaithyanathan, Huaiyu Zhu", ACM SIGMOD Record,2009,146.0,GoogleScholar,1314533.0
78,1800022,NaLIX: an interactive natural language interface for querying XML," Yunyao Li,  Huahai Yang,  HV Jagadish",SIGMOD Conference,2007,146.0,GoogleScholar,1314534.0
88,1800018, Enabling Schema-Free XQuery with meaningful query focus," Yunyao Li,  Cong Yu,  HV Jagadish", The VLDB JournalThe International Journal on Very Large Data Bases,2008,41.0,GoogleScholar,1314535.0
98,1800020,Enterprise information extraction: recent developments and open challenges,"Yunyao Li,Ziyang Liu,Huaiyu Zhu",SIGMOD Conference,2010,10.0,GoogleScholar,1314536.0
104,1800021,Understanding queries in a search database system," Ronald Fagin,  Benny Kimelfeld,  Yunyao Li,  Sriram Raghavan,  Shivakumar Vaithyanathan", Proceedings of the twenty-ninth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2010,28.0,GoogleScholar,1314537.0
116,1800023,The SystemT IDE: an integrated development environment for information extraction rules," Laura Chiticariu,  Vivian Chu,  Sajib Dasgupta,  Thilo W Goetz,  Howard Ho,  Rajasekar Krishnamurthy",Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,16.0,GoogleScholar,1314538.0
122,1800024,Selectivity estimation for extraction operators over text data,"Daisy Zhe Wang,Long Wei,Yunyao Li,Frederick Reiss,Shivakumar Vaithyanathan",SIGMOD Conference,2011,1.0,GoogleScholar,1314539.0
133,1800026,Rewrite rules for search database systems,"Ronald Fagin, Benny Kimelfeld, Yunyao Li, Sriram Raghavan, Shivakumar Vaithyanathan", Proceedings of the thirtieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2011,10.0,GoogleScholar,1314540.0
139,1800027,VINERy: a visual IDE for information extraction," Yunyao Li,  Elmer Kim,  Marc A Touchette,  Ramiya Venkatachalam,  Hao Wang", Proceedings of the VLDB Endowment,2015,7.0,GoogleScholar,1314541.0
142,1800028,Enabling enterprise mashups over unstructured text feeds with InfoSphere MashupHub and SystemT,"David E. Simmen,Frederick Reiss,Yunyao Li,Suresh Thalamati",SIGMOD Conference,2009,5.0,GoogleScholar,1314542.0
153,1800030, Synthesizing extraction rules from user examples with seer," Maeda F Hanafi,  Azza Abouzied,  Laura Chiticariu,  Yunyao Li",Proceedings of the 2017 ACM International Conference on Management of Data,2017,2.0,GoogleScholar,1314543.0
158,1800031,VLDB 2014 Ph. D. workshop: an overview," Yunyao Li,  Erich Neuhold", Proceedings of the VLDB Endowment,2014,1.0,GoogleScholar,1314544.0
160,1800032, Comparative analysis of five XML query languages," Angela Bonifati,  Stefano Ceri", ACM Sigmod Record,2000,353.0,GoogleScholar,1314545.0
166,1800033,Dynamic XML documents with distribution and replication," Serge Abiteboul,  Angela Bonifati,  Grgory Cobna,  Ioana Manolescu,  Tova Milo",Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,213.0,GoogleScholar,1314546.0
172,1800034,Active rules for XML: A new paradigm for E-services," Angela Bonifati,  Stefano Ceri,  Stefano Paraboschi", The VLDB Journal,2001,116.0,GoogleScholar,1314547.0
177,1800035,HePToX: marrying XML and heterogeneity in your P2P databases," Angela Bonifati,  Elaine Qing Chang,  Aks VS Lakshmanan,  Terence Ho,  Rachel Pottinger",Proceedings of the 31st international conference on Very large data bases,2005,92.0,GoogleScholar,1314548.0
182,1800036,Schema mapping verification: the spicy way," Angela Bonifati,  Giansalvatore Mecca,  Alessandro Pappalardo,  Salvatore Raunich,  Gianvito Summa",Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,86.0,GoogleScholar,1314549.0
