_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Venue,ltable_Year,rtable_Title,rtable_Authors,rtable_Venue,rtable_Year,gold
75240,6405,6409, Authenticated join processing in outsourced databases," Yin Yang,  Dimitris Papadias,  Stavros Papadopoulos,  Panos Kalnis",Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,Authenticated join processing in outsourced databases.,"Yin Yang,Dimitris Papadias,Stavros Papadopoulos 0001,Panos Kalnis",SIGMOD Conference,2009,1
149042,12359,12357,Building a Database on S3,"Matthias Brantner, Daniela Florescu, David Graf, Donald Kossmann, Tim Kraska",SIGMOD,2008,Building a database on S3,"Matthias Brantner, Daniela Florescu, David Graf, Donald Kossmann, Tim Kraska",SIGMOD '08,2008/6/1,1
153787,12648,12646,Simultaneous scalability and security for data-intensive web applications,"Amit Manjhi,Anastassia Ailamaki,Bruce M. Maggs,Todd C. Mowry,Christopher Olston,Anthony Tomasic",SIGMOD Conference,2006, Simultaneous scalability and security for data-intensive web applications," Amit Manjhi,  Anastassia Ailamaki,  Bruce M Maggs,  Todd C Mowry,  Christopher Olston,  Anthony Tomasic",Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,1
207047,43635,16664,Efficient and scalable data evolution with column oriented databases.,"Ziyang Liu,Bin He,Hui-I Hsiao,Yi Chen 0001",EDBT,2011,Efficient and Scalable Integrity Verification of Data and Query Results for Graph Databases.,"Muhammad U. Arshad,Ashish Kundu,Elisa Bertino,Arif Ghafoor,Chinmay Kundu",IEEE Trans. Knowl. Data Eng.,2018,0
247100,19397,19398,Massively Parallel XML Twig Filtering Using Dynamic Programming on FPGAs,"Roger Moussalli, Mariam Salloum, Walid Najjar, Vassilis J. Tsotras","In ICDE: 2011 IEEE 27th International Conference on Data Engineering. IEEE,2011",,Massively parallel XML twig filtering using dynamic programming on FPGAs.,"Roger Moussalli,Mariam Salloum,Walid A. Najjar,Vassilis J. Tsotras",ICDE,2011,1
258201,33012,20340, NetTrails: a declarative platform for maintaining and querying provenance in distributed systems," Wenchao Zhou,  Qiong Fei,  Shengzhi Sun,  Tao Tao,  Andreas Haeberlen,  Zachary Ives",Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,Provenance for seismological processing pipelines in a distributed streaming workflow,"Alessandro Spinuso,James Cheney,Malcolm P. Atkinson",EDBT/ICDT Workshops,2013,0
325556,40545,25894,The Omni-family of all-purpose access methods: a simple and effective way to make similarity search more efficient,"Caetano Traina, Jr., Roberto F. Filho, Agma J. Traina, Marcos R. Vieira, Christos Faloutsos",The VLDB Journal Â¾ The International Journal on Very Large Data Bases,2007/10/1,"SF-sketch: A Fast, Accurate, and Memory Efficient Data Structure to Store Frequencies of Data Items","Tong Yang,Lingtong Liu,Yibo Yan,Muhammad Shahzad,Yulong Shen,Xiaoming Li,Bin Cui,Gaogang Xie",2017 IEEE 33rd International Conference on Data Engineering (ICDE),2017,0
409908,6499,33132,A General Framework for Geo-Social Query Processing,"Nikos Armenatzoglou, Stavros Papadopoulos, Dimitris Papadias",,,prague: A Practical Framework for Blending Visual Subgraph Query Formulation and Query Processing,"Changjiu Jin, Sourav S Bhowmick, Byron Choi, Shuigeng Zhou",In ICDE,2012,0
1854,123,124,Selectivity estimation for extraction operators over text data,"Daisy Zhe Wang,Long Wei,Yunyao Li,Frederick Reiss,Shivakumar Vaithyanathan",ICDE,2011,Selectivity Estimation for Extraction Operators over Text Data,"Daisy Zhe Wang, Long Wei, Yunyao Li, Frederick Reiss, Shivakumar Vaithyanathan",VLDB,2010,0
34276,2758,2757,Venn sampling: a novel prediction technique for moving objects,"Yufei Tao,Dimitris Papadias,Jian Zhai,Qing Li",21st International Conference on Data Engineering (ICDE'05),2005,Venn Sampling - A Novel Prediction Technique for Moving Objects.,"Yufei Tao,Dimitris Papadias,Jian Zhai,Qing Li 0001",ICDE,2005,1
38540,18249,3240,Guest Editors' Introduction to the Special Section on the 26th International Conference on Data Engineering,"Ghandeharizadeh, Shahram,Gerhard Weikum,Jayant R. Haritsa",IEEE Trans. Knowl. Data Eng.,2011, Guest editor introduction: special section on online analysis and querying of continuous data streams, Rajeev Rastogi,IEEE Transactions on Knowledge and Data Engineering,2003,1
40683,11365,3466,Report on MobiDE 2003: the 3rd international ACM Workshop on Data Engineering for Wireless and Mobile Access,"Sujata Banerjee, Mitch Cherniack, Panos K. Chrysanthis, Vijay Kumar, Alexandros Labrinidis",ACM SIGMOD Record,2005/3/1,Mobile and Wireless Database Access for Pervasive Computing,"Panos K. Chrysanthis,Evaggelia Pitoura",ICDE,2000,0
