Venue,Citations
 ,44.0
  PROCEEDINGS OF THE SIGMOD WORKSHOP ON RESEARCH ISSUES ON DATA MINING AND KNOWLEDGE DISCOVERY,145.0
  PROCEEDINGS OF THE VLDB ENDOWMENT (PVLDB,30.0
 ACM Conference on Management of Data (SIGMOD),0.0
 ACM SIGMOD,816.0
 ACM SIGMOD Blog; May,5.0
 ACM SIGMOD DEMO,0.0
 ACM SIGMOD Digital Review,1.0
 ACM SIGMOD International Conference on Management of Data,322.0
 ACM SIGMOD Intl. Conf. on Management of Data,4.0
 ACM SIGMOD Record,69253.0
 ACM SIGMOD WebDB,21.0
 ACM SIGMOD Workshop on Reliable Data Services and Systems (RDSS),12.0
 ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,92.0
 ACM SIGMOD workshop on research issues in data mining and knowledge discovery,3052.0
 ACM SIGMoD Record,544.0
 ACM SiGMOD Record,145.0
 ACM Sigmod Record,47906.0
 ACM Sigmod record,3179.0
 ACM TODS,76.0
 ACM Transactions on Database Systems,64.0
 ACM Transactions on Database Systems (ACM TODS),3.0
 ACM Transactions on Database Systems (TODS),58021.0
 ACM Transactions on Database Systems-TODS,0.0
 ACM Transactions on Database system (TODS),23.0
 ACM Transactions on Database systems (TODS),183.0
 ACM Transactions on database systems (TODS),2521.0
 ACM sIGMOD record,318.0
 ACM sigmod record,22916.0
 ACM transactions on database systems,66.0
 ACMSIGMODInt. Conf. OnManagementof Data,0.0
 ADMS@ VLDB,429.0
 AcM sIGMoD Record,854.0
 Acm Sigmod Record,17383.0
 Advances in Database Technology: EDBT...: Proceedings,0.0
 Advances in database technology: proceedings. International Conference on Extending Database Technology,35.0
 Business Environments; Int'l Conf. on Data Engineering (ICDE,0.0
 CIDR,10417.0
 CIDR (Abstract),1.0
 CIKM,17.0
 Cidr,9091.0
 Completed for IEEE Transactions on Knowledge and Data Engineering,1.0
 Conf. Extending Database Technology,5.0
 Conference on Innovative Data Systems Research,4.0
 Conference on Innovative Data Systems Research (CIDR),382.0
 Conference on Innovative Data systems Research (CIDR),47.0
 Conference on Innovative Database Research (CIDR),24.0
 Conference on Management of Data (SIGMOD),2.0
 Convey C; Lee S; Stonebraker M; Tatbul N; Zdonik S. Aurora Anewmodeland architecturefordatastreammanagement. TheVLDBJoumal,27.0
 DaLi Workshop at ICDE,1.0
 EDBT,1704.0
 EDBT Conference,81.0
 EDBT PhD Workshop,9.0
 EDBT Summerschool presentation,1.0
 EDBT/ICDT,12.0
 EDBT/ICDT Workshops,152.0
 EDBT/ICDT Workshops-Querying Graph Structured Data (GraphQ),7.0
 EDBT; University of Edinburgh; Edinburgh; Scotland,9.0
 Extending DataBase Technology Summer School,1.0
 Extending Database Technology,33.0
 Extending Database Technology (EDBT),90.0
 Extending database technology,13.0
 Fifth Biennial Conference on Innovative Data Systems Research (CIDR),72.0
 GRADES (SIGMOD workshop),415.0
 Grandi F.; Kafer W.; Kline N.; Lorentzos N.; Mitsopoulos Y.; Montanari A.; Nonen D.; Peressi E.; Pernici B.; Roddick JF; Sarda NL; Scalas MR; Segev A.; Snodgrass R.; Soo MD; Tansel A.; Tiberio P.; Wiederhold G.:A Consensus Glossary of Temporal Database Concepts; ACM SIGMOD RECORD,3.0
 HILDA@ SIGMOD,1.0
 How to Estimate the Number of Undetected Errors in Data Sets. PVLDB,0.0
 ICDE,542.0
 ICDE Demo Sessions,18.0
 ICDE conference {Industrial session; Birmingham; England,8.0
 ICDE; April,5.0
 ICDE; Bangalore,354.0
 ICDE; Los Alamos; California; USA,4.0
 ICDM,260.0
 ICDM Workshop on Privacy and Security Aspects of Data Mining; Huston; TX US,9.0
 IEEE ICDE,8.0
 IEEE ICDM Workshop on Data Mining for Cyber Threat Analysis,12.0
 IEEE ICDM workshop on privacy preserving data mining,336.0
 IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING,10.0
 IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING ,6.0
 IEEE International Conference on Data Engineering (ICDE),21.0
 IEEE International Conference on Data Engineering ICDE,5.0
 IEEE International Conference on Data Mining (ICDM),6.0
 IEEE TKDE,44.0
 IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,184.0
 IEEE Transaction on Knowledge and Data Engineering (TKDE),23.0
 IEEE Transactions On Knowledge And Data Engineering,55.0
 IEEE Transactions On Knowledge and Data Engineering,6.0
 IEEE Transactions on Knowledge and Data Engineering,53129.0
 IEEE Transactions on Knowledge and Data Engineering (TKDE),242.0
 IEEE Transactions on Knowledge and Data Engineering; TKDE,93.0
 IEEE Transactions on Knowledge and Data Engineering; to appear,2.0
 IEEE Transactions on Knowledge and Data engineering,742.0
 IEEE Transactions on Knowledge and data Engineering,4006.0
 IEEE Transactions on Knowledge and data engineering,1605.0
 IEEE Transactions on knowledge and Data Engineering,862.0
 IEEE Transactions on knowledge and Data engineering,52.0
 IEEE Transactions on knowledge and data Engineering,64.0
 IEEE Transactions on knowledge and data engineering,12699.0
 IEEE transactions on Knowledge and Data Engineering,8499.0
 IEEE transactions on Knowledge and Data engineering,221.0
 IEEE transactions on Knowledge and data Engineering,43.0
 IEEE transactions on knowledge and data engineering,10943.0
 IMDM@ VLDB,4.0
 IN CIDR,996.0
 IN PROC. ACM SIGMOD/PODS WORKSHOP ON XQUERY IMPLEMENTATION; EXPERIENCE AND PERSPECTIVES (XIME-P,8.0
 Ieee Transactions On Knowledge And Data Engineering,42.0
 In CIDR,319.0
 In CIKM; Poster,5.0
 In EDBT,4.0
 In Proc. of the ACM SIGMOD Int. Conf. on Management of Data,201.0
 In Proceedings of the ACM SIGMOD Conference,0.0
 In Proceedings of the International Conference on Extending Database Technology,21.0
 In Proceedings of the VLDB Workshop on Information Integration on the Web,33.0
 In Proceedings of the VLDB Workshop on Technologies for E-Services,10.0
 In SIGMOD,16.0
 In VLDB,4.0
 In proceedings of ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge,16.0
 Int. Conf. on Information and Knowledge Management (CIKM),0.0
 Int. Conf. on Very Large Data Bases (VLDB),12.0
 International Conference on Data Engineering (ICDE),347.0
 International Conference on Data Mining (ICDM),3.0
 International Conference on Extending Database Technology,18526.0
 International Conference on Extending Database Technology (EDBT),3.0
 International Conference on Extending Database Technology; EDBT,3.0
 International Conference on Information and Knowledge Management (CIKM),29.0
 International Conference on Very Large Data (VLDB),301.0
 International Conference on Very Large Data Bases (VLDB),15.0
 International conference on extending database technology,87.0
 Jensen. Temporal entity-relationship modelsa survey. IEEE Transactions on Knowledge and Data Engineering,0.0
 Join operations in temporal databases. The VLDB Journal-The International Journal on Very Large Data Bases,2.0
 Journal Proceedings of the VLDB Endowment VLDB Endowment Hompage archive,12.0
 Levy. Answ eringqueriesw ith aggregation usingview s. InP roc. VLDB Conf,2.0
" Mohamed Y. Eltabakh""",0.0
 PIKM@ CIKM,0.0
 PROCEEDINGS OF THE ACM SIGACT SIGMOD SIGART SYMPOSIUM ON PRINCIPLES OF DATABASE SYSTEMS,10.0
 PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE DATA BASES,1496.0
 PVLDB,569.0
 PVLDB Challenges and Visions,255.0
 Panagiotis Karras Rol,0.0
 PersDB Workshop; SIGMOD Conference,2.0
 PhD Workshop collocated at VLDB Conference,2.0
 Pro. of ACM SIGMOD Conf,5.0
 Proc ICDE,14.0
 Proc ICDM,7.0
 Proc of CIDR,15.0
 Proc of the VLDB Conf,10.0
 Proc. ACM SIGMOD,4.0
 Proc. ACM SIGMOD Conf.,47.0
 Proc. ACM SIGMOD Conf. on the Management of Data,5.0
 Proc. ACM SIGMOD International Conference on Management of Data,2.0
 Proc. ACM SIGMOD Intl Conf. Management of Data (SIGMOD),2.0
 Proc. ACM SIGMOD Intl Conf. on Management of Data,9.0
 Proc. ACM SIGMOD Workshop on Research Issues on Data Mining and Knowledge Discovery; Montreal; Canada,340.0
 Proc. CIDR,324.0
 Proc. EDBT,13.0
 Proc. EDBT Workshop,4.0
 Proc. ICDE,167.0
 Proc. ICDE workshop on Graph Data Management (GDM),25.0
 Proc. ICDM,16.0
 Proc. ICDM Workshops,4.0
 Proc. Int'l Conf. ACM on Management of Data,7.0
 Proc. Int'l Conf. Very Large Data Bases (VLDB),3.0
 Proc. Int. Conf. on Information and Knowledge Management (CIKM),3.0
 Proc. SIGMOD,13.0
 Proc. SIGMOD Conf,18.0
 Proc. SIGMOD Int. Conference on Management of Data; SIGMOD Record,2.0
 Proc. SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery; Technical Report,11.0
 Proc. VLDB,63.0
 Proc. VLDB Endow,601.0
 Proc. VLDB Endow.,0.0
 Proc. VLDB Workshop IIWeb,5.0
 Proc. VLDB; Auckland; New Zealand,4.0
 Proc. VLDB; Hawaii; USA,2.0
 Proc. Workshop on Research Issues in Data Mining and Knowledge Discovery; ACM SIGMOD,10.0
 Proc. of ACM SIGMOD,4.0
 Proc. of ACM SIGMOD Conference,402.0
 Proc. of ACM SIGMOD Intl. Conf. on Management of Data,0.0
 Proc. of ICDE,10.0
 Proc. of International Conference on Very Large Data Bases (VLDB),16.0
 Proc. of VLDB,153.0
 Proc. of VLDB Endowment,244.0
 Proc. of VLDB. Bombay; India,34.0
 Proc. of llth Int. Conf. on Very Large Data Bases,296.0
 Proc. of the ACM SIGMOD Conference on Management of Data,2.0
 Proc. of the ACM SIGMOD Int. Conf. on Management of Data,6.0
 Proc. of the Conf. on Innovative Data Systems Research,47.0
 Proc. of the Conf. on Very Large Databases (VLDB),224.0
 Proc. of the Conference for Innovative Database Research (CIDR); Asilomar; CA,20.0
 Proc. of the Fifth CIDR Conf,21.0
 Proc. of the International Conference on Very Large Data Bases,23.0
 Proc. of the Symposium on New Paradigms in Information Visualization and Manipulation-CIKM,0.0
 Proc. of the VLDB Endowment,258.0
 Proc. of the VLDB Endowment (VLDB); Tutorial,9.0
 Proc. of the VLDB IIWeb Workshop,68.0
 Proceeding on the EDBT Workshop on Workflow Management Systems,22.0
 Proceedings ACM SIGMOD International Conference on Management of Data,13.0
 Proceedings ACM-SIGMOD; Arizona,6.0
 Proceedings International Conference on Very Large Data Bases (VLDB),38.0
 Proceedings VLDB,4.0
 Proceedings of ACM SIGMOD,2.0
 Proceedings of ACM SIGMOD Conference in Management of Data; Washington; USA,2.0
 Proceedings of ACM SIGMOD/PODS Conference on Management of Data; Tucson; AZ,10.0
 Proceedings of CIDR,243.0
 Proceedings of ICDE,14.0
 Proceedings of IEEE International Conference on Data Engineering (ICDE),6.0
 Proceedings of SIGMOD,2.0
 Proceedings of The IEEE International Conference on Data Mining (ICDM),2.0
 Proceedings of VLDB,5793.0
 Proceedings of VLDB conference,884.0
 Proceedings of Very Large Data Bases Conference (VLDB); New York,186.0
 Proceedings of the ACM India Joint International Conference on Data Science and Management of Data,0.0
 Proceedings of the ACM International Conference on Information and Knowledge Management (CIKM),89.0
 Proceedings of the ACM SIGMOD,15.0
 Proceedings of the ACM SIGMOD Conference on the Management of Data,326.0
 Proceedings of the ACM SIGMOD International Conference on Management of Data,214.0
 Proceedings of the ACM SIGMOD International Conference on Management of Data; San Diego; California; USA,4.0
 Proceedings of the ACM SIGMOD Workshop on Databases and Social Networks,41.0
 Proceedings of the ACM SIGMOD workshop on databases and social networks,26.0
 Proceedings of the ACM first Ph. D. workshop in CIKM,95.0
 Proceedings of the EDBT,10.0
 Proceedings of the EDBT-Workshop on Pervasive Information Management,2.0
 Proceedings of the Eighth IEEE International Conference on Data Mining (ICDM),54.0
 Proceedings of the Fourteenth ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,50.0
 Proceedings of the Fourth SIGMOD PhD Workshop on Innovative Database Research,22.0
 Proceedings of the ICDM workshop on frequent itemset mining implementations,117.0
 Proceedings of the IEEE ICDM Workshop of Frequent Itemset Mining Implementations (FIMI); Melbourne; Florida,80.0
 Proceedings of the IEEE ICDM Workshop on FIMI,4.0
 Proceedings of the International Conference on Data Engineering (ICDE),42.0
 Proceedings of the International Conference on Extending Database Technology,12.0
 Proceedings of the International Conference on Information and Knowledge Management (CIKM),44.0
 Proceedings of the International Conference on Management of Data,12.0
 Proceedings of the International Conference on Very Large Data Bases,5741.0
 Proceedings of the International Conference on Very Large Data Bases (VLDB),0.0
 Proceedings of the International Conference on Very Large Databases (VLDB),9.0
 Proceedings of the Ph. D Workshop in conjunction with VLDB,2.0
 Proceedings of the SIGMOD,15.0
 Proceedings of the Second Ph. D. Workshop in Information and Knowledge Management (PIKM) in CIKM,1.0
 Proceedings of the Third International ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data,12.0
 Proceedings of the Twelfth International Con erence on Very large Data Bases Kyoto,0.0
 Proceedings of the VLDB Conference,34.0
 Proceedings of the VLDB Endowment,132937.0
 Proceedings of the VLDB Endowment (PVLDB),44.0
 Proceedings of the VLDB Endowment (pVLDB),65.0
 Proceedings of the VLDB endowment,42.0
 Proceedings of the Very Large Data Bases Conference,12.0
 Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,3895.0
 Proceedings of the eighth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,291.0
 Proceedings of the eleventh ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,579.0
 Proceedings of the fifteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,671.0
 Proceedings of the fifth ACM SIGACT-SIGMOD symposium on Principles of database systems,2465.0
 Proceedings of the fourteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,2892.0
 Proceedings of the fourth ACM SIGACT-SIGMOD symposium on Principles of database systems,309.0
 Proceedings of the international conference on Very Large Data Bases,717.0
 Proceedings of the international conference on very large data bases,1979.0
 Proceedings of the nineteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1248.0
 Proceedings of the ninth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,829.0
 Proceedings of the seventeenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,588.0
 Proceedings of the seventh ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,690.0
 Proceedings of the sixteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1501.0
 Proceedings of the sixth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,287.0
 Proceedings of the tenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,196.0
 Proceedings of the third international ACM SIGMOD workshop on managing and mining enriched geo-spatial data,6.0
 Proceedings of the thirteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,455.0
 Proceedings of the thirtieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,684.0
 Proceedings of the twelfth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,370.0
 Proceedings of the twentieth ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,65.0
 Proceedings of the twentieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,628.0
 Proceedings of the twenty-eighth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,806.0
 Proceedings of the twenty-fifth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1567.0
 Proceedings of the twenty-first ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1689.0
 Proceedings of the twenty-fourth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,631.0
 Proceedings of the twenty-ninth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1247.0
 Proceedings of the twenty-second ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2131.0
 Proceedings of the twenty-seventh ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1812.0
 Proceedings of the twenty-sixth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1459.0
 Proceedings of the twenty-third ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,685.0
 Proceedings of the... International Conference on Very Large Data Bases,0.0
 Proceedings ofthe SIGMOD International Conference on Management ofData,668.0
 Proceedings; ICDE,3.0
 Proceedings; International Conference on Management of Data,7.0
 Proceedings; very large data bases,60.0
 Processing in Sensor Networks; SIGMOD Record,2.0
 Processing; Poster in ICDE,0.0
 RDSS (SIGMOD Workshops); Snowbird; UT; USA,8.0
 S. Dill; R. Kumar; K. McCurley; S. Rajagopalan; D. Sivakumar; ad A. Tomkins; Self-similarity in the Web; Proc VLDB,43.0
 SIGMOD,556.0
 SIGMOD Conference,2219.0
 SIGMOD Conference</booktitle,0.0
 SIGMOD IQIS,5.0
 SIGMOD RECORD,20.0
 SIGMOD Record,1279.0
 SIGMOD Record (ACM Special Interest Group on Management of Data),1.0
 SIGMOD Record-Special Interest Group on Management Data,9.0
 SIGMOD Tutorial,7.0
 SIGMOD Workshop on Research Issues on Data Mining and Knowledge Discovery,1.0
 SIGMOD conference,1.0
 SIGMOD record,1208.0
 SIgMOD Record,838.0
 Sigmod,32.0
 Sigmod Digital Review,0.0
 Sigmod Record,899.0
 Sixth Biennial Conference on Innovative Data Systems Research,3.0
 THE VLDB JOURNAL ,11.0
 The ACM SIGMOD Blog,41.0
 The IEEE International Conference on Data Engineering (ICDE),23.0
 The IEEE International Conference on Data Mining (ICDM),21.0
 The International Journal on Very Large Data Bases,88.0
 The Poster Paper Collection; VLDB Conf,2.0
 The VLDB Journal,24348.0
 The VLDB Journal (VLDBJ),0.0
 The VLDB Journal-The International Journal on Very Large Data Bases,1.0
 The VLDB JournalThe International Journal on Very Large Data Bases,29782.0
 The VLDB PhD Workshop. VLDB Endowment,13.0
 The VLDB journal,2250.0
 The Very Large Data Bases Journal,8.0
 The hyperion Projet ct: from Data Integration to Data Coordination; Sigmod. Record,0.0
 Third Biennial Conference on Innovative Data Systems Research,94.0
 To appear in ACM SIGMOD-Record,0.0
 To appear in IEEE Transactions on Knowledge and Data Engineering,0.0
 Transactions on Knowledge and Data Engineering (IEEE TKDE),0.0
 Tutorial at EDBT,18.0
 Tutorial at ICDE,1.0
 Twenty-second Int. Conf. on Very Large Data Bases; Bombay,6.0
 VLDB,47589.0
 VLDB BIRTE,50.0
 VLDB Conference,285.0
 VLDB Database School; Cairo University,1.0
 VLDB Demo,0.0
 VLDB J,10.0
 VLDB Journal,4676.0
 VLDB PhD Workshop,79.0
 VLDB PhD workshop,13.0
 VLDB Workshop on Clean Databases (CleanDB),8.0
 VLDB Workshop on Data Management and Analytics for Medicine and Healthcare,1.0
 VLDB Workshop on Data Mining and Bioinformatics,21.0
 VLDB Workshop on Ranking in Databases,8.0
 VLDB Workshop on Using Search Engine Technology for Information Management (USETIM),4.0
 VLDB Workshop on the Quality of Data (QDB),12.0
 VLDB Workshop; SWDB-ODBIS,6.0
 VLDB journal,187.0
 VLDB; Toronto,80.0
 Versin revisada por aparecer en ACM Transactions on Database Systems,2.0
 Very Large Data Bases Journal,2.0
 Very Large Data Bases: Proceedings,20.0
 Vldb,3934.0
 Workshop on Data Management for End-to-End Machine Learning at SIGMOD,1.0
 Yang; and PS Yu;Clustering by pattern similarity in large data sets; in SIGMOD Conference,2.0
 icde,181.0
 ieee transactions on knowledge and data engineering,52.0
 in SIGMOD Record,3.0
 proceeding of the ICDE workshop on Data Engineering for Blogs; Social Media; and Web,1.0
 the VLDB Journal,7559.0
 vldb,2465.0
10th International Conference on the Management of Data; Pune; India (COMAD),6.0
12th International Conference on Extending Database Technology,12.0
15th ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,156.0
16th International Conference on Data Engineering ICDE,0.0
17th ACM International Conference on Information and Knowledge Management (ACM CIKM),0.0
17th International Conference on Extending Database Technology (EDBT 14),6.0
17th International Conference on Extending Database Technology (EDBT)  2014,13.0
17th International Conference on Extending Database Technology; EDBT 2014,30.0
18th International Conference on Extending Database Technology (EDBT),27.0
1996 ACM SIGMOD Data Mining Workshop: Research Issues on Data Mining and Knowledge Discovery (SIGMOD96),49.0
1997 SIGMOD Workshop on Research Issues on Data Mining and Knowledge Discovery,15.0
1998 ACM SIGMOD Workshop on Research Issues on Data Mining and Knowledge Discovery; Seattle; WA; USA; ACM; New York; USA,213.0
1999 ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,553.0
1999 ACM SIGMOD workshop on research issues in data mining and knowledge discovery,189.0
19th International Conference on Extending Database Technology (EDBT 2016),2.0
19th International Conference on Extending Database Technology (EDBT),5.0
19th International Conference on Extending Database Technology; EDBT 2016,6.0
1st IEEE International Conference on Data Mining; ICDM'01,0.0
1st International Conference on Information Systems and Management of Data,0.0
1st VLDB Workshop on Databases and Crowdsourcing; DBCrowd 2013-Co-located with the 39th International Conference on Very Large Data Bases; VLDB 2013,0.0
2001 ACM SIGMOD International Conference on Management of Data,2.0
2003 ACM SIGMOD International Conference on Management of Data,0.0
2006 IEEE International Conference on Data Mining,4.0
2006 VLDB Workshop on Data Mining in Bioinformatics; Seoul; Korea; September 2006,21.0
2007 IEEE 23rd International Conference on Data Engineering,4560.0
2008 Eighth IEEE International Conference on Data Mining,658.0
2008 IEEE 24th International Conference on Data Engineering,4716.0
2008 IEEE 24th International Conference on Data Engineering Workshop,233.0
2008 IEEE International Conference on Data Mining Workshops,75.0
2009 IEEE 25th International Conference on Data Engineering,2779.0
2009 IEEE International Conference on Data Mining Workshops,24.0
2009 International Conference on Data Engineering (ICDE),20.0
2009 Ninth IEEE International Conference on Data Mining,451.0
2009 WRI World Congress on Computer Science and Information Engineering,0.0
2010 IEEE 26th International Conference on Data Engineering (ICDE 2010),1948.0
2010 IEEE 26th International Conference on Data Engineering Workshops (ICDEW 2010),147.0
2010 IEEE International Conference on Data Mining,532.0
2010 IEEE International Conference on Data Mining Workshops,26.0
2010 International Conference on Data Engineering (ICDE),28.0
2010 International Conference on Data Storage and Data Engineering,2.0
2011 Conference on Innovative Data Research (CIDR),19.0
2011 IEEE 11th International Conference on Data Mining,530.0
2011 IEEE 11th International Conference on Data Mining Workshops,20.0
2011 IEEE 27th International Conference on Data Engineering,2528.0
2011 IEEE 27th International Conference on Data Engineering Workshops,75.0
2011 IEEE 27th International Conference on Data Engineering Workshops; ICDE 2011,0.0
2011 International Conference on Management of Data (SIGMOD),10.0
2012 9th International Conference on Fuzzy Systems and Knowledge Discovery,1.0
2012 IEEE 12th International Conference on Data Mining,548.0
2012 IEEE 12th International Conference on Data Mining Workshops,70.0
2012 IEEE 28th International Conference on Data Engineering,1953.0
2012 IEEE 28th International Conference on Data Engineering (ICDE),296.0
2012 IEEE 28th International Conference on Data Engineering Workshops,94.0
2012 IEEE Fifth International Conference on Cloud Computing,30.0
2013 IEEE 13th International Conference on Data Mining,210.0
2013 IEEE 13th International Conference on Data Mining Workshops,28.0
2013 IEEE 14th International Conference on Mobile Data Management,0.0
2013 IEEE 29th International Conference on Data Engineering (ICDE),1658.0
2013 IEEE 29th International Conference on Data Engineering Workshops (ICDEW),113.0
2014 IEEE 30th International Conference on Data Engineering,1242.0
2014 IEEE 30th International Conference on Data Engineering (ICDE),16.0
2014 IEEE 30th International Conference on Data Engineering Workshops,39.0
2014 IEEE International Conference on Data Mining,172.0
2014 IEEE International Conference on Data Mining Workshop,20.0
2015 12th Web Information System and Application Conference (WISA),0.0
2015 31st IEEE International Conference on Data Engineering Workshops,17.0
2015 IEEE 31st International Conference  on Data Engineering (ICDE),15.0
2015 IEEE 31st International Conference on Data Engineering,990.0
2015 IEEE International Conference on Data Mining,113.0
2015 IEEE International Conference on Data Mining Workshop (ICDMW),8.0
2016 IEEE 16th International Conference on Data Mining (ICDM),94.0
2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW),16.0
2016 IEEE 32nd International Conference on Data Engineering (ICDE),502.0
2016 IEEE 32nd International Conference on Data Engineering Workshops (ICDEW),23.0
2017 IEEE 17th International Conference on Data Mining (ICDM),0.0
2017 IEEE 33rd International Conference on Data Engineering (ICDE),252.0
2017 IEEE International Conference on Data Mining (ICDM),30.0
2017 IEEE International Conference on Data Mining Workshops (ICDMW),1.0
2017 IEEE International Conference on Data Mining(ICDM'17),0.0
20th International Conference on Extending Database Technology (EDBT'17),1.0
21st ACM International Conference on Information and Knowledge Management (CIKM),92.0
21st International Conference on Data Engineering (ICDE'05),3188.0
21st International Conference on Very Large Data Bases; Zurich; Switzerland; September 1995,168.0
22nd International Conference on Data Engineering (ICDE'06),3949.0
22nd International Conference on Data Engineering Workshops (ICDEW'06),3.0
23rd ACM International Conference on Conference on Information and Knowledge Management (CIKM14),0.0
23rd IEEE International Conference on Data Engineering (ICDE); Istanbul; Turkey; April 2007,17.0
24th ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems; Maryland; June 2005,63.0
25th International Conference on Very Large Data Bases,4.0
27th IEEE International Conference on Data Engineering (ICDE); Hannover; Germany; April 2011,18.0
27th International Conference on Very Large Databases (VLDB 2001),4.0
28th Conference on Very Large Data Bases (VLDB 2002),2.0
28th Intl. Conf. VLDB,14.0
29th IEEE International Conference on Data Engineering (ICDE),66.0
32nd International Conference on Very Large Data Bases; VLDB 2006,2.0
33rd IEEE International Conference on Data Engineering; ICDE 2017,2.0
33rd International Conference on Very Large Data Bases: VLDB 2007: September 23-27; 2007; Vienna; Austria,0.0
33rd International Very Large Data Bases Conference,2.0
34th IEEE International Conference on Data (ICDE),0.0
37th International Conference on Very Large Data Bases (VLDB),55.0
37th VLDB Conference (Visions and Challenges),3.0
38th International Conference on Very Large Data Bases (VLDB),63.0
39th International Conference on Very Large Data Bases (VLDB),34.0
3rd ACM SIGMOD Workshop on Databases and Social Networks; DBSocial 2013,0.0
3rd Biennial Conf. on Innovative Data Systems Research (CIDR); California; USA; 2007,0.0
3rd Biennial Conference on Innovative Data Systems Research (CIDR); Asilomar; California; USA,348.0
3rd IEEE International Conference on Data Mining; ICDM'03,0.0
5th Biennial Conf. on Innov. Data Syst. Research (CIDR); Asilomar; CA; USA,19.0
5th International Workshop on Personalized Access; Profile Management; and Context Awareness in Databases; PersDB 2011-In Conjunction with Very Large Data Bases; VLDB 2011,77.0
5th international VLDB workshop on personalized access; profile management and context awareness in databases (PersDB). VLDB,25.0
7th biennial Conference on Innovative Data Systems Research (CIDR),0.0
8th ACM Symp. on Principles of Database Systems,9.0
